,URL,Value,id,Extracted_Value,Contains
70,https://subs-production.s3.us-west-2.amazonaws.com/1722635447742,3180,/content/file_70.jpg,16702670643,False
71,https://subs-production.s3.us-west-2.amazonaws.com/1722635651027,13033,/content/file_71.jpg,2006303341000100402524240158601452402611334725,False
72,https://subs-production.s3.us-west-2.amazonaws.com/1722635658851,149307,/content/file_72.jpg,,False
73,https://subs-production.s3.us-west-2.amazonaws.com/1722614703858,28545,/content/file_73.jpg,,False
74,https://subs-production.s3.us-west-2.amazonaws.com/1722607633931,7127,/content/file_74.jpg,,False
75,https://subs-production.s3.us-west-2.amazonaws.com/1722612713239,25877,/content/file_75.jpg,,False
77,https://subs-production.s3.us-west-2.amazonaws.com/1722633954858,15378,/content/file_77.jpg,615878261013452525623080760,False
79,https://subs-production.s3.us-west-2.amazonaws.com/1722621917195,1357,/content/file_79.jpg,546205462052061016765604201428492,False
80,https://subs-production.s3.us-west-2.amazonaws.com/1722665866173,6607,/content/file_80.jpg,,False
81,https://subs-production.s3.us-west-2.amazonaws.com/1722637962846,7801,/content/file_81.jpg,306026265217003363,False
82,https://subs-production.s3.us-west-2.amazonaws.com/1722659054332,3172,/content/file_82.jpg,15411052512361614620532182051282440700145493100899303200300201335283,False
83,https://subs-production.s3.us-west-2.amazonaws.com/1722620413429,55918,/content/file_83.jpg,5590247,False
85,https://subs-production.s3.us-west-2.amazonaws.com/1722659512174,61091,/content/file_85.jpg,40930385,False
86,https://subs-production.s3.us-west-2.amazonaws.com/1722782244431,3956,/content/file_86.jpg,01910711370580,False
87,https://subs-production.s3.us-west-2.amazonaws.com/1722674320267,31508,/content/file_87.jpg,,False
88,https://subs-production.s3.us-west-2.amazonaws.com/1722598451654,21711,/content/file_88.jpg,4010022232125052560450,False
89,https://subs-production.s3.us-west-2.amazonaws.com/1722598509742,12148,/content/file_89.jpg,3502711015045053377,False
90,https://subs-production.s3.us-west-2.amazonaws.com/1722635190768,5899,/content/file_90.jpg,718019220,False
91,https://subs-production.s3.us-west-2.amazonaws.com/1722615790212,7099,/content/file_91.jpg,,False
92,https://subs-production.s3.us-west-2.amazonaws.com/1722619668418,4558,/content/file_92.jpg,6205370837558620151600123050560101114145688,False
93,https://subs-production.s3.us-west-2.amazonaws.com/1722581302624,2163,/content/file_93.jpg,26111059456252512023050200980,False
95,https://subs-production.s3.us-west-2.amazonaws.com/1722619183257,20605,/content/file_95.jpg,34143680010632304001432014,False
96,https://subs-production.s3.us-west-2.amazonaws.com/1722637809050,6580,/content/file_96.jpg,,False
97,https://subs-production.s3.us-west-2.amazonaws.com/1722637835914,1367,/content/file_97.jpg,21046205211082020128012205102702011988136205321,False
99,https://subs-production.s3.us-west-2.amazonaws.com/1722600855518,7415,/content/file_99.jpg,,False
